origin	packages	license	source_kind	source_asset	source_member	source_url	source_size	source_sha256	notice_section	notice_sha256
apk-tools	apk-tools@3.0.6-r0,libapk@3.0.6-r0	GPL-2.0-only	upstream	distfiles/apk-tools/apk-tools-v3.0.6.tar.gz	apk-tools-v3.0.6/libfetch/common.c	https://gitlab.alpinelinux.org/alpine/apk-tools/-/archive/v3.0.6/apk-tools-v3.0.6.tar.gz	28014	95b925a57c3baff517932b97dcb7215c979e51aca1dd87ffe26a27a62c2c9d20	apk-tools-embedded-notices	2798ae79f41b53609b32cc67e7cd39ffecc400e1297c66c57d52edec65fca725
apk-tools	apk-tools@3.0.6-r0,libapk@3.0.6-r0	GPL-2.0-only	upstream	distfiles/apk-tools/apk-tools-v3.0.6.tar.gz	apk-tools-v3.0.6/libfetch/common.h	https://gitlab.alpinelinux.org/alpine/apk-tools/-/archive/v3.0.6/apk-tools-v3.0.6.tar.gz	4861	0d52df0adb7067eb7e9521c5f1296875981d092923c240072c3bc35f10d36168	apk-tools-embedded-notices	2798ae79f41b53609b32cc67e7cd39ffecc400e1297c66c57d52edec65fca725
apk-tools	apk-tools@3.0.6-r0,libapk@3.0.6-r0	GPL-2.0-only	upstream	distfiles/apk-tools/apk-tools-v3.0.6.tar.gz	apk-tools-v3.0.6/libfetch/fetch.c	https://gitlab.alpinelinux.org/alpine/apk-tools/-/archive/v3.0.6/apk-tools-v3.0.6.tar.gz	13362	c3a1e3d99eb44c54178aceba956aa56059bc0d925095a7034c788eb497399db2	apk-tools-embedded-notices	2798ae79f41b53609b32cc67e7cd39ffecc400e1297c66c57d52edec65fca725
apk-tools	apk-tools@3.0.6-r0,libapk@3.0.6-r0	GPL-2.0-only	upstream	distfiles/apk-tools/apk-tools-v3.0.6.tar.gz	apk-tools-v3.0.6/libfetch/fetch.h	https://gitlab.alpinelinux.org/alpine/apk-tools/-/archive/v3.0.6/apk-tools-v3.0.6.tar.gz	5541	733582ada02b40096f21ddc3b10ee8ee578eef426604dc00fd3617ece4f8292b	apk-tools-embedded-notices	2798ae79f41b53609b32cc67e7cd39ffecc400e1297c66c57d52edec65fca725
apk-tools	apk-tools@3.0.6-r0,libapk@3.0.6-r0	GPL-2.0-only	upstream	distfiles/apk-tools/apk-tools-v3.0.6.tar.gz	apk-tools-v3.0.6/libfetch/http.c	https://gitlab.alpinelinux.org/alpine/apk-tools/-/archive/v3.0.6/apk-tools-v3.0.6.tar.gz	35198	9456653a8e080964915ac37bce6719b3017590fbeea469dfe6d9b016e9eee3d7	apk-tools-embedded-notices	2798ae79f41b53609b32cc67e7cd39ffecc400e1297c66c57d52edec65fca725
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	aports	aports/busybox.tar.gz	aports-c3ef5d10e6ef6528852c51f0564963e2f8c1be19-c3ef5d10e6ef6528852c51f0564963e2f8c1be19-main-busybox/main/busybox/dad.if-up	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c3ef5d10e6ef6528852c51f0564963e2f8c1be19&path=main%2Fbusybox	285	2fd20d1bc67d9ee711990002b24f156635a73f56b8935b2f76592938817fa4e7	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	aports	aports/busybox.tar.gz	aports-c3ef5d10e6ef6528852c51f0564963e2f8c1be19-c3ef5d10e6ef6528852c51f0564963e2f8c1be19-main-busybox/main/busybox/default.script	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c3ef5d10e6ef6528852c51f0564963e2f8c1be19&path=main%2Fbusybox	4010	c7b39bba4d7f1ce05dbdeba7d2fd97b96a8c3c0c1ebc0259f641fb8e1c3827d2	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	aports	aports/busybox.tar.gz	aports-c3ef5d10e6ef6528852c51f0564963e2f8c1be19-c3ef5d10e6ef6528852c51f0564963e2f8c1be19-main-busybox/main/busybox/ssl_client.c	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c3ef5d10e6ef6528852c51f0564963e2f8c1be19&path=main%2Fbusybox	3418	f36fb83637a12fe0706f828a3e9a4181ac6ed452b59d5d30fcf4dbe1884b8aed	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	authority	license-inputs/LGPL-2.1.txt	-	https://www.gnu.org/licenses/old-licenses/lgpl-2.1.txt	26521	592987e8510228d546540b84a22444bde98e48d03078d3b2eefcd889bec5ce8c	lgpl-2.1	0e0c13878a838747247f3b535258818ec8a38c16079c1464f3719b0ddf67e49e
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/AUTHORS	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	5386	384fc3a9cfc7c435bdd9d169e5ec60a7d898d9ef9557ec859394d7f97b4b6f07	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/LICENSE	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	18348	bbfc9843646d483c334664f651c208b9839626891d8f17604db2146962f43548	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/archival/libarchive/bz/LICENSE	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	1999	b5a136ed67798e51fe2e0ca0b2a21cb01b904ff0c9f7d563a6292e276607e58f	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/archival/tar.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	42674	97153818ce7be84f7deeae2bf682d5dfa0d5e0b07521c91565d7f780ba45a480	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/coreutils/echo.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	9958	2156aa3e9c62ee95d8fb814a795a8ac8973943ff7de9b0f9b70c61a75afa1376	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/coreutils/env.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	4755	cef0b1e62baada878c6aa1d57ea115ea75bc7c691b4a152e977c48572c02d915	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/coreutils/od.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	7891	cf9e4de8b9e5de8c462c00fc143447007cf75c9d1bdf1bc47b409c362f809b22	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/include/volume_id.h	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	1245	a54132ddb734f64b825119af742f33f895d6aa429da0dc0d03df56594bd481ed	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/appletlib.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	31330	b809a8a73948b4cdcf4ea70a4e14f883c39155e099d59a9709e14c6a0bc7edff	busybox	7d538556efae6692aa5f07535c6ff7f4100f3a97b9e370eded4801130ea03ac8
