binary_package	source_package	source_version	source_origin	source_license	aports_snapshot_commit
busybox@1.37.0-r31	skalibs-static	2.14.5.0-r0	skalibs	ISC	c3ef5d10e6ef6528852c51f0564963e2f8c1be19
busybox@1.37.0-r31	utmps-static	0.1.3.2-r0	utmps	ISC	c3ef5d10e6ef6528852c51f0564963e2f8c1be19
